127.0.0.1 - - [24/Aug/2023:09:23:01 +0900] "GET / HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:23:02 +0900] "GET / HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:23:02 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:24:30 +0900] "GET /board/list HTTP/1.1" 200 31018
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:24:32 +0900] "GET /board/list?pageNum=5&amount=10&type=&keyword= HTTP/1.1" 200 30814
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:24:35 +0900] "GET /board/get?pageNum=5&amount=10&type=&keyword=&bno=5500358 HTTP/1.1" 200 23867
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:24:41 +0900] "GET /board/modify?bno=5500358&pageNum=5&amount=10&keyword=&type= HTTP/1.1" 200 25084
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:24:41 +0900] "GET /board/modify?bno=5500358 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:25:12 +0900] "GET /board/modify?bno=5500358&pageNum=5&amount=10&keyword=&type= HTTP/1.1" 200 25084
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:25:12 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 200 8420
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:25:12 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.css HTTP/1.1" 200 7616
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:25:12 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:25:12 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:25:12 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:25:13 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:25:13 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:25:13 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:25:13 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 200 25098
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:25:13 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:25:13 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:25:13 +0900] "GET /resources/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 200 82638
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:25:13 +0900] "GET /resources/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:25:13 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:25:16 +0900] "GET /board/modify?bno=5500358&pageNum=5&amount=10&keyword=&type=T HTTP/1.1" 200 25085
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:25:21 +0900] "GET /board/modify?bno=5500358&pageNum=5&amount=10&keyword=&type=T HTTP/1.1" 200 25085
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:31:25 +0900] "GET /board/list?pageNum=5&amount=10&keyword=&type=T HTTP/1.1" 200 30823
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:32:56 +0900] "GET /board/get?pageNum=5&amount=10&type=T&keyword=&bno=5500358 HTTP/1.1" 200 23868
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:32:58 +0900] "GET /board/modify?bno=5500358 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:32:58 +0900] "GET /board/modify?bno=5500358&pageNum=5&amount=10&keyword=&type=T HTTP/1.1" 200 25085
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:33:02 +0900] "POST /board/remove HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2023:09:33:06 +0900] "GET /board/list?pageNum=5&amount=10&type=T&keyword= HTTP/1.1" 200 30816
